Winery,Year,Wine ID,Wine,Rating,num_review,price,Country,Region
Quinta de Arcossó,2017,1601201,Superior Bago a Bago 2017,4.4,72,36.95,Portugal,Trás-os-Montes
Solar dos Lobos,2014,2533375,Syrah 2014,4.0,76,12.9,Portugal,Alentejo
Quinta da Falorca,2005,1524282,Reserva Lagar 2005,0.0,6,64.95,Portugal,Dão
Pinhal Da Torre,2001,1157754,Quinta do Alqueve Tradicional Tinto 2001,0.0,16,45.0,Portugal,Ribatejo
Herdade do Sobroso,2011,1208733,Tinto 2011,3.5,133,5.75,Portugal,Alentejo
Torre de Coimbra,2010,1911299,Bairrada Tinto 2010,3.2,129,8.7,Portugal,Bairrada
Poeira,2018,1210451,51 Barricas 2018,0.0,1,39.95,Portugal,Douro
São Domingos,2015,1802682,Garrafeira Dão 2015,0.0,0,11.01,Portugal,Dão
João M Barbosa,2008,1287360,Lapa dos Gaivões Escolha 2008,3.8,75,14.95,Portugal,Alentejano
Quinta S. João Batista,2007,1187390,Reserva Syrah 2007,3.9,70,10.95,Portugal,Ribatejo
Quinta do Soque,2009,1240120,Tinto 2009,3.5,127,7.5,Portugal,Douro
Quinta do Garrido,2016,5365110,Checkmate Shiraz 2016,3.7,66,7.95,Portugal,Lisboa
Monte do Pintor,2008,1216585,Reserva Alentejano 2008,4.0,334,22.95,Portugal,Alentejano
Herdade das Servas,2015,5172371,Sem Barrica Tinto 2015,3.8,150,12.95,Portugal,Alentejano
Rovisco Garcia,2011,1510031,Reserva 2011,3.8,68,11.95,Portugal,Alentejano
Mira do Ó,2018,3093996,Druida 2018,4.0,82,22.95,Portugal,Dão
Couquinho,2015,1209304,Grande Reserva Tinto 2015,0.0,6,59.9,Portugal,Douro
Vinha de Reis,2010,1184854,Touriga Nacional 2010,3.8,100,12.85,Portugal,Dão
Quinta de S. José,2014,1245750,Tinto 2014,3.9,404,10.95,Portugal,Douro
Quinta de Cidrô,2007,1246181,Cabernet Sauvignon - Touriga Nacional 2007,4.1,123,24.95,Portugal,Douro
Titular,2015,2711950,Jaen 2015,3.3,86,8.95,Portugal,Dão
Cartuxa,2009,76429,Scala Coeli Tinto 2009,4.6,245,65.0,Portugal,Alentejo
Quinta do Monte d'Oiro,2010,1275912,Aurius Red Blend 2010,4.0,37,24.0,Portugal,Lisboa
Niepoort,2017,9516067,Sem Maneiras Edição Limitada Tinto 2017,3.4,238,9.5,Portugal,Portalegre
Quinta da Cortezia,1997,1243325,Touriga Nacional 1997,0.0,7,15.0,Portugal,Lisboa
Quinta dos Frades,2016,6519958,Grande Reserva Vinhas Velhas 2016,0.0,5,28.5,Portugal,Douro
Bacalhôa,2013,18529,Península de Setúbal Palácio da Bacalhôa Tinto 2013,4.2,734,54.0,Portugal,Península de Setúbal
Herdade da Comporta,2010,2439194,Vinhas da Comporta Tinto 2010,0.0,0,30.0,Portugal,Península de Setúbal
Xutos & Pontapés,2017,1894092,Tinto 2017,3.8,40,9.0,Portugal,Alentejano
Rola,2016,5568653,Vinha das Marias Tinto 2016,4.2,38,26.0,Portugal,Douro
Felix Rocha,1959,1534294,Colheita Seleccionada Red 1959,0.0,0,353.66,Portugal,Lisboa
Niepoort,2018,2899486,Douro Turris 2018,0.0,5,115.0,Portugal,Douro
Maritávora,2004,1782179,No. 4 Reserva Tinto 2004,0.0,5,60.0,Portugal,Douro
Dom Dinis,2008,4291197,Reserva 2008,0.0,1,6.49,Portugal,Tejo
Maritávora,2008,1782179,No. 4 Reserva Tinto 2008,0.0,9,45.0,Portugal,Douro
Symington,2016,5780044,Vale do Bomfim 2016,3.7,627,20.0,Portugal,Douro
Luis Pato,2015,1859648,Pato D'Oiro 2015,0.0,1,190.0,Portugal,Bairrada
Quinta da Romaneira,2011,1201768,Reserva Tinto 2011,4.3,320,45.0,Portugal,Douro
Maritávora,2013,4995848,No. 2 Grande Reserva Vinhas Velhas Tinto 2013,4.2,78,40.0,Portugal,Douro
Quinta do Pinto,2013,1397176,Merlot - Syrah 2013,3.8,131,12.95,Portugal,Alenquer
Casa Ferreirinha,1992,75980,Reserva Douro 1992,4.6,202,180.0,Portugal,Douro
Quinta Maria Izabel,2014,4460318,Maria Izabel Tinto 2014,3.9,718,30.0,Portugal,Douro
Quinta do Javali,2016,6475416,Maria Luisa Tinto 2016,0.0,23,180.0,Portugal,Douro
Jorge Rosas,2014,1306913,Puro Quinta da Touriga Douro 2014,4.0,494,25.0,Portugal,Douro
Casa Agrícola HMR,2012,1397230,Pousio Tinto 2012,3.3,187,30.0,Portugal,Alentejano
Quinta Maria Izabel,2016,4460515,M.I. Tinto 2016,3.9,320,20.0,Portugal,Douro
Pacheca,2011,2402435,Douro Tinto 2011,3.3,45,45.0,Portugal,Douro
Ervideira,2015,1192486,Conde d'Ervideira Reserva Tinto 2015,3.8,544,30.0,Portugal,Alentejo
CARM,2020,1873398,Marquês d'Almeida Tinto 2020,0.0,2,5.3,Portugal,Beira Interior
Sociedade Agrícola de Pias,2011,1197707,Encostas do Enxoé Reserva Tinto 2011,3.7,100,25.0,Portugal,Alentejano
Herdade do Portocarro,2010,1200540,Cavalo Maluco Tinto 2010,4.1,345,65.0,Portugal,Península de Setúbal
Ervideira,2008,2045239,Conde d'Ervideira Private Selection Tinto 2008,4.0,84,120.0,Portugal,Alentejo
Monte Bluna,2017,8837717,Blunissima Tinto 2017,4.4,40,64.9,Portugal,Arruda
Colinas de São Lourenço,2016,4419823,Espumante Cuvée Brut Nature 2016,0.0,3,18.99,Portugal,Bairrada
Osvaldo Amado,2001,7962293,Raríssimo Tinto 2001,4.3,92,74.9,Portugal,Dão
Folias de Baco,2015,1378527,Olho no Pé Reserva Pinot Noir 2015,3.8,51,16.0,Portugal,Duriense
Ma+Ru+Fa,2015,6507821,Edição Especial Tinto 2015,3.4,42,8.166666666666666,Portugal,Tejo
Borges,1985,2400219,Meia Encosta Reserva 1985,0.0,1,12.0,Portugal,Dão
Quinta do Bucheiro,1990,1577300,Ceirós Tinto 1990,0.0,0,14.0,Portugal,Douro
Pacheca,1986,2402435,Douro Tinto 1986,0.0,0,14.0,Portugal,Douro
Grão Vasco,1985,1503031,Dão Garrafeira Tinto 1985,0.0,8,18.0,Portugal,Dão
Herdade do Portocarro,2008,1203073,Tinto 2008,3.9,163,14.9,Portugal,Península de Setúbal
Casa Ferreirinha,1989,75977,Esteva Douro 1989,0.0,4,15.0,Portugal,Douro
Herdade do Peso,2019,76037,Reserva Alentejo Tinto 2019,0.0,21,29.0,Portugal,Alentejo
São João,1992,1665008,Quinta do Poço do Lobo Cabernet Sauvignon 1992,0.0,13,25.0,Portugal,Beiras
Pêra Grave,2005,1706208,Tinto 2005,0.0,7,19.0,Portugal,Alentejano
Adega de Pegões,1992,1979745,Peninsula de Setúbal Tinto 1992,0.0,0,9.0,Portugal,Península de Setúbal
Cave Solar das Francesas,1963,1234211,Garrafeira Tinto 1963,0.0,23,39.0,Portugal,Lisboa
São João,1986,1665008,Quinta do Poço do Lobo Cabernet Sauvignon 1986,0.0,9,25.0,Portugal,Beiras
Alves de Sousa,1996,75723,Caldas Tinto 1996,0.0,5,15.0,Portugal,Douro
Quinta da Falorca,2000,1497327,Garrafeira Old Vines 2000,3.9,27,45.0,Portugal,Dão
Vale do Rodo,1982,1395714,Cabeça de Burro Reserva 1982,0.0,2,25.0,Portugal,Douro
Herdade do Portocarro,2007,1203073,Tinto 2007,3.9,98,14.9,Portugal,Península de Setúbal
Adega Cooperativa de Borba,1999,1866956,Alentejo Grande Reserva 1999,0.0,0,49.0,Portugal,Alentejo
Adega Cooperativa de Borba,1990,3375687,Reserva Tinto 1990,0.0,0,15.0,Portugal,Alentejo
Quinta de Pancas,1998,75040,Touriga Nacional Reserva 1998,3.8,46,17.5,Portugal,Lisboa
Bacalhôa,1990,1728300,Alentejano Tinto da Ânfora 1990,0.0,3,16.0,Portugal,Alentejano
Borges,1985,2400219,Meia Encosta Reserva 1985,0.0,1,12.0,Portugal,Dão
Quinta do Bucheiro,1990,1577300,Ceirós Tinto 1990,0.0,0,14.0,Portugal,Douro
Esporão,2004,1386245,Torre Tinto 2004,4.6,85,590.0,Portugal,Alentejo
Aphros,2021,1463733,Vinhão 2021,0.0,9,15.0,Portugal,Vinho Verde
